"","gene_symbols","logFC","logCPM","LR","PValue","FDR"
"ENSG00000012223","LTF",-4.79060599561818,6.46034192946158,347.106483260239,1.80821989476372e-77,4.06623448834991e-75
"ENSG00000079931","MOXD1",-4.55884118787753,6.48131884297442,702.137241754638,1.0255288809084e-154,1.10695587405253e-151
"ENSG00000080572","DNAAF6",-4.34386973244621,6.07517481299437,110.680960383673,6.95023522243285e-26,1.62735008657137e-24
"ENSG00000106511","MEOX2",-5.93530664267357,6.47298966727327,1184.53633117648,1.39959982867777e-259,1.51072805507478e-255
"ENSG00000106538","RARRES2",-4.06492988544124,6.53120323448123,1148.94054849257,7.6233170776367e-252,4.11430422680053e-248
"ENSG00000120068","HOXB8",-5.39788218847428,5.58324114135552,111.216428881235,5.30510611824144e-26,1.25577446141005e-24
"ENSG00000122176","FMOD",-4.40416771378375,6.42367551693747,854.402862885407,8.02375306005615e-188,1.73216781060492e-184
"ENSG00000136574","GATA4",-5.42998121087416,6.39249737342563,200.173258085617,1.91435812321791e-45,1.28345227217479e-43
"ENSG00000142700","DMRTA2",-4.83033723020357,6.43565484479987,872.847254666087,7.84515755222112e-192,2.11701576546687e-188
"ENSG00000150244","TRIM48",5.42396085137159,6.20968417036004,19.2454659171984,1.14943035932517e-05,4.18729372209107e-05
"ENSG00000154438","ASZ1",-4.44765321698768,6.37077967686632,16.026513726514,6.24616172121087e-05,0.000207513295225454
"ENSG00000159212","CLIC6",-4.18598968049778,6.2774051269353,468.302889272562,7.50021697869351e-104,3.6798791849099e-101
"ENSG00000165588","OTX2",-8.04011592755508,6.23293082201975,151.045202393736,1.02449177913345e-34,4.25321702460247e-33
"ENSG00000168779","SHOX2",-4.64406936480321,6.40351868632012,346.778411486858,2.13154886417061e-77,4.6015876879715e-75
"ENSG00000173432","SAA1",-5.66996886631142,5.9367792627859,259.183727128824,2.58490858856281e-58,3.100167033883e-56
"ENSG00000181541","MAB21L2",-5.13584619393488,6.44170196438252,122.87466026294,1.48542307946685e-28,4.28707398924202e-27
"ENSG00000182333","LIPF",-5.05587049099294,6.56835995404777,52.556367576961,4.1807504151946e-13,3.43693983104421e-12
"ENSG00000197769","MAP1LC3C",-4.37710695618571,6.39062727780501,922.88410253667,1.04030474424141e-202,3.74301646978058e-199
"ENSG00000206866","RNU6-187P",14.1366765926876,6.5124015852936,21.2588493664833,4.01253600211114e-06,1.54793829902744e-05
"ENSG00000226690","C7orf78",-4.60614254582721,6.07353035557046,150.059291613206,1.68267411103326e-34,6.84207086247492e-33
"ENSG00000226947","LCEP4",14.339333108958,6.7148464559902,50.0953538414945,1.46453349709277e-12,1.14968542309959e-11
"ENSG00000229316",NA,-4.1100851351827,6.41369760007602,34.9349203234718,3.40911471263111e-09,1.87171842360835e-08
"ENSG00000230564",NA,-5.30292048846891,6.31396897635654,34.9439283990964,3.39337905111484e-09,1.86402714899407e-08
"ENSG00000238902","LOC124906347",14.2967191694594,6.67227545582946,24.1695380344506,8.82166302579988e-07,3.72393549865013e-06
"ENSG00000249288",NA,4.93939292922084,6.6225684687315,63.0109611981968,2.05559450279326e-15,2.10313621451663e-14
"ENSG00000250133","HOXC-AS2",-4.5444115159745,5.97115050034221,60.6164401509433,6.93523839533756e-15,6.77456680898404e-14
"ENSG00000257178",NA,-4.50239294548453,6.23359973047727,25.4600039104206,4.51649585251442e-07,1.97213010647414e-06
"ENSG00000271468","LOC100422334",14.1591589411127,6.53486242403993,17.2913756076472,3.20638827131303e-05,0.000110999855678489
"ENSG00000274373",NA,-4.27713766053964,6.30124278532081,26.6013995716093,2.50062540095653e-07,1.12185164496778e-06
"ENSG00000279388",NA,-5.25614537682763,6.2785439240819,65.9710463923511,4.57595932504034e-16,4.9196120472595e-15
"ENSG00000279401",NA,14.1660828534973,6.54177181927895,22.2187560338115,2.43285548265826e-06,9.64740708295858e-06
"ENSG00000284700","LOC105378714",-4.10695959059996,6.43534751313431,167.928101640788,2.09751775544398e-38,1.05305147219825e-36
"ENSG00000286778",NA,4.39966979662231,6.58305202605681,172.574935416133,2.02674456754053e-39,1.05176350298233e-37
"ENSG00000287499",NA,-5.01806599071689,6.18490147925783,32.0149883841667,1.52987626143414e-08,7.81148740109749e-08
